N,AverageTime_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,1
7400,1
7500,1
7600,1
7700,1
7800,1
7900,1
8000,1
8100,1
8200,1
8300,1
8400,1
8500,1
8600,1
8700,1
8800,1
8900,1
9000,1
9100,1
9200,1
9300,1
9400,1
9500,1
9600,1
9700,1
9800,1
9900,1
10000,1
10100,1
10200,1
10300,1
10400,1
10500,1
10600,1
10700,1
10800,1
10900,2
11000,2
11100,2
11200,2
11300,2
11400,2
11500,2
11600,2
11700,2
11800,2
11900,2
12000,2
12100,2
12200,2
12300,2
12400,2
12500,2
12600,2
12700,2
12800,2
12900,2
13000,2
13100,2
13200,2
13300,2
13400,2
13500,2
13600,2
13700,2
13800,2
13900,2
14000,2
14100,2
14200,2
14300,2
14400,2
14500,2
14600,2
14700,2
14800,2
14900,2
15000,2
15100,2
15200,2
15300,2
15400,2
15500,2
15600,2
15700,2
15800,3
15900,3
16000,3
16100,3
16200,3
16300,3
16400,3
16500,3
16600,3
16700,3
16800,3
16900,3
17000,3
17100,3
17200,3
17300,3
17400,3
17500,3
17600,3
17700,3
17800,3
17900,3
18000,3
18100,3
18200,3
18300,3
18400,3
18500,3
18600,3
18700,3
18800,3
18900,3
19000,3
19100,3
19200,3
19300,3
19400,3
19500,3
19600,3
19700,4
19800,4
19900,4
20000,4
20100,4
20200,4
20300,4
20400,4
20500,4
20600,4
20700,4
20800,4
20900,4
21000,4
21100,4
21200,4
21300,4
21400,4
21500,4
21600,4
21700,4
21800,4
21900,4
22000,4
22100,4
22200,4
22300,4
22400,4
22500,4
22600,4
22700,4
22800,4
22900,4
23000,4
23100,4
23200,4
23300,4
23400,4
23500,4
23600,4
23700,4
23800,4
23900,4
24000,4
24100,4
24200,4
24300,4
24400,4
24500,4
24600,4
24700,4
24800,4
24900,4
25000,5
25100,5
25200,5
25300,5
25400,5
25500,5
25600,5
25700,5
25800,5
25900,5
26000,5
26100,5
26200,5
26300,5
26400,5
26500,5
26600,5
26700,5
26800,5
26900,5
27000,5
27100,5
27200,5
27300,5
27400,5
27500,5
27600,5
27700,5
27800,5
27900,5
28000,5
28100,5
28200,5
28300,5
28400,5
28500,5
28600,5
28700,5
28800,5
28900,5
29000,5
29100,5
29200,5
29300,5
29400,5
29500,5
29600,5
29700,5
29800,5
29900,5
30000,5
30100,5
30200,5
30300,5
30400,5
30500,6
30600,6
30700,6
30800,6
30900,6
31000,6
31100,6
31200,6
31300,6
31400,6
31500,6
31600,6
31700,6
31800,6
31900,6
32000,6
32100,6
32200,6
32300,7
32400,7
32500,7
32600,7
32700,7
32800,7
32900,7
33000,7
33100,7
33200,7
33300,7
33400,7
33500,7
33600,7
33700,7
33800,7
33900,7
34000,7
34100,7
34200,7
34300,7
34400,7
34500,7
34600,7
34700,7
34800,7
34900,7
35000,7
35100,7
35200,7
35300,7
35400,7
35500,7
35600,7
35700,7
35800,7
35900,7
36000,7
36100,7
36200,7
36300,7
36400,7
36500,8
36600,8
36700,8
36800,7
36900,7
37000,8
37100,8
37200,8
37300,8
37400,8
37500,8
37600,8
37700,8
37800,8
37900,8
38000,8
38100,8
38200,8
38300,8
38400,8
38500,8
38600,8
38700,8
38800,8
38900,8
39000,8
39100,8
39200,8
39300,8
39400,8
39500,8
39600,8
39700,8
39800,8
39900,8
40000,8
40100,8
40200,8
40300,8
40400,8
40500,8
40600,8
40700,8
40800,8
40900,8
41000,8
41100,8
41200,9
41300,8
41400,8
41500,8
41600,9
41700,9
41800,9
41900,9
42000,9
42100,9
42200,9
42300,9
42400,9
42500,9
42600,9
42700,9
42800,9
42900,9
43000,9
43100,9
43200,9
43300,9
43400,9
43500,9
43600,9
43700,9
43800,9
43900,9
44000,9
44100,9
44200,9
44300,9
44400,9
44500,9
44600,9
44700,9
44800,9
44900,9
45000,9
45100,9
45200,9
45300,9
45400,9
45500,9
45600,9
45700,9
45800,9
45900,9
46000,10
46100,10
46200,9
46300,10
46400,10
46500,10
46600,10
46700,10
46800,10
46900,10
47000,10
47100,10
47200,10
47300,10
47400,10
47500,10
47600,10
47700,10
47800,10
47900,10
48000,10
48100,10
48200,10
48300,10
48400,10
48500,10
48600,10
48700,10
48800,10
48900,10
49000,10
49100,10
49200,10
49300,10
49400,10
49500,10
49600,10
49700,10
49800,10
49900,10
50000,10
50100,10
50200,10
50300,10
50400,10
50500,10
50600,10
50700,10
50800,10
50900,10
51000,10
51100,11
51200,10
51300,10
51400,10
51500,11
51600,10
51700,10
51800,11
51900,10
52000,11
52100,11
52200,11
52300,11
52400,11
52500,11
52600,11
52700,11
52800,11
52900,11
53000,11
53100,11
53200,11
53300,11
53400,11
53500,11
53600,11
53700,11
53800,11
53900,11
54000,11
54100,11
54200,11
54300,12
54400,12
54500,11
54600,11
54700,11
54800,11
54900,11
55000,11
55100,11
55200,11
55300,11
55400,11
55500,12
55600,11
55700,11
55800,12
55900,11
56000,11
56100,11
56200,12
56300,12
56400,11
56500,12
56600,11
56700,12
56800,12
56900,12
57000,12
57100,12
57200,12
57300,12
57400,12
57500,12
57600,12
57700,12
57800,12
57900,12
58000,12
58100,12
58200,12
58300,12
58400,12
58500,12
58600,12
58700,12
58800,12
58900,12
59000,12
59100,12
59200,12
59300,12
59400,12
59500,12
59600,12
59700,12
59800,12
59900,12
60000,12
60100,12
60200,12
60300,12
60400,12
60500,12
60600,12
