N,AverageTime_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,1
7400,1
7500,1
7600,1
7700,1
7800,1
7900,1
8000,1
8100,1
8200,1
8300,1
8400,1
8500,1
8600,1
8700,1
8800,1
8900,1
9000,1
9100,1
9200,1
9300,1
9400,1
9500,1
9600,1
9700,2
9800,2
9900,2
10000,2
10100,2
10200,2
10300,2
10400,2
10500,2
10600,2
10700,2
10800,2
10900,2
11000,2
11100,2
11200,2
11300,2
11400,2
11500,2
11600,2
11700,2
11800,2
11900,2
12000,2
12100,2
12200,2
12300,2
12400,2
12500,2
12600,2
12700,2
12800,2
12900,3
13000,3
13100,3
13200,3
13300,3
13400,3
13500,2
13600,3
13700,3
13800,3
13900,3
14000,3
14100,3
14200,3
14300,3
14400,3
14500,3
14600,3
14700,3
14800,3
14900,3
15000,3
15100,3
15200,3
15300,3
15400,3
15500,3
15600,3
15700,3
15800,3
15900,3
16000,3
16100,3
16200,3
16300,3
16400,3
16500,3
16600,3
16700,3
16800,3
16900,3
17000,3
17100,3
17200,3
17300,3
17400,3
17500,3
17600,3
17700,3
17800,3
17900,3
18000,3
18100,4
18200,4
18300,4
18400,4
18500,4
18600,4
18700,4
18800,4
18900,4
19000,4
19100,4
19200,4
19300,4
19400,4
19500,4
19600,4
19700,4
19800,4
19900,4
20000,4
20100,4
20200,4
20300,4
20400,4
20500,4
20600,4
20700,4
20800,4
20900,4
21000,4
21100,4
21200,4
21300,4
21400,4
21500,4
21600,4
21700,4
21800,4
21900,4
22000,4
22100,4
22200,4
22300,4
22400,5
22500,5
22600,5
22700,5
22800,5
22900,5
23000,5
23100,5
23200,5
23300,5
23400,5
23500,5
23600,5
23700,5
23800,5
23900,5
24000,5
24100,5
24200,5
24300,5
24400,5
24500,5
24600,5
24700,5
24800,5
24900,5
25000,5
25100,5
25200,5
25300,5
25400,5
25500,5
25600,5
25700,5
25800,5
25900,5
26000,5
26100,5
26200,5
26300,5
26400,6
26500,6
26600,6
26700,6
26800,6
26900,6
27000,6
27100,6
27200,6
27300,6
27400,6
27500,6
27600,6
27700,6
27800,6
27900,6
28000,6
28100,6
28200,6
28300,6
28400,6
28500,6
28600,6
28700,6
28800,6
28900,6
29000,6
29100,6
29200,6
29300,6
29400,6
29500,6
29600,6
29700,6
29800,6
29900,6
30000,7
30100,6
30200,7
30300,7
30400,7
30500,7
30600,7
30700,7
30800,7
30900,7
31000,7
31100,7
31200,7
31300,7
31400,7
31500,7
31600,7
31700,7
31800,7
31900,7
32000,7
32100,7
32200,7
32300,7
32400,7
32500,7
32600,7
32700,7
32800,7
32900,7
33000,7
33100,7
33200,7
33300,7
33400,7
33500,7
33600,7
33700,7
33800,7
33900,7
34000,7
34100,8
34200,8
34300,8
34400,8
34500,8
34600,8
34700,8
34800,8
34900,8
35000,8
35100,8
35200,8
35300,8
35400,8
35500,8
35600,8
35700,8
35800,8
35900,8
36000,8
36100,8
36200,8
36300,8
36400,8
36500,8
36600,8
36700,8
36800,8
36900,8
37000,8
37100,8
37200,8
37300,8
37400,8
37500,8
37600,8
37700,8
37800,8
37900,8
38000,8
38100,9
38200,9
38300,9
38400,9
38500,9
38600,9
38700,9
38800,9
38900,9
39000,9
39100,9
39200,9
39300,9
39400,9
39500,9
39600,9
39700,9
39800,9
39900,9
40000,9
40100,9
40200,9
40300,9
40400,9
40500,9
40600,9
40700,9
40800,9
40900,9
41000,9
41100,9
41200,9
41300,9
41400,9
41500,9
41600,9
41700,9
41800,9
41900,9
42000,9
42100,9
42200,9
42300,9
42400,9
42500,9
42600,10
42700,10
42800,10
42900,10
43000,10
43100,10
43200,10
43300,10
43400,10
43500,10
43600,10
43700,10
43800,10
43900,10
44000,10
44100,10
44200,10
44300,10
44400,10
44500,10
44600,10
44700,10
44800,10
44900,10
45000,10
45100,10
45200,10
45300,10
45400,10
45500,10
45600,10
45700,10
45800,10
45900,10
46000,10
46100,10
46200,10
46300,10
46400,11
46500,11
46600,11
46700,11
46800,11
46900,11
47000,11
47100,11
47200,11
47300,11
47400,11
47500,11
47600,11
47700,11
47800,11
47900,11
48000,11
48100,11
48200,11
48300,11
48400,11
48500,11
48600,11
48700,11
48800,11
48900,11
49000,11
49100,11
49200,11
49300,11
49400,11
49500,11
49600,11
49700,11
49800,11
49900,11
50000,12
50100,12
50200,11
50300,12
50400,12
50500,12
50600,12
50700,11
50800,11
50900,12
51000,12
51100,12
51200,12
51300,12
51400,12
51500,12
51600,12
51700,12
51800,12
51900,12
52000,12
52100,12
52200,12
52300,12
52400,12
52500,12
52600,12
52700,12
52800,12
52900,12
53000,12
53100,12
53200,12
53300,12
53400,12
53500,13
53600,13
53700,12
53800,13
53900,13
54000,12
54100,12
54200,13
54300,13
54400,12
54500,13
54600,13
54700,13
54800,13
54900,13
55000,13
55100,13
55200,13
55300,13
55400,13
55500,13
55600,13
55700,13
55800,13
55900,13
56000,13
56100,13
56200,14
56300,13
56400,13
56500,13
56600,13
56700,13
56800,13
56900,13
57000,13
57100,13
57200,13
57300,13
57400,13
57500,13
57600,14
57700,14
57800,13
57900,13
58000,14
58100,14
58200,14
58300,14
58400,14
58500,14
58600,14
58700,14
58800,14
58900,14
59000,14
59100,14
59200,14
59300,14
59400,14
59500,14
59600,14
59700,14
59800,14
59900,14
60000,14
60100,14
60200,14
60300,14
60400,14
60500,14
60600,14
