N,AverageTime_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,1
2600,1
2700,1
2800,1
2900,1
3000,1
3100,1
3200,1
3300,1
3400,1
3500,1
3600,1
3700,1
3800,1
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,2
4900,2
5000,2
5100,2
5200,2
5300,2
5400,2
5500,2
5600,2
5700,2
5800,2
5900,2
6000,2
6100,2
6200,2
6300,2
6400,2
6500,2
6600,2
6700,2
6800,2
6900,2
7000,3
7100,3
7200,3
7300,3
7400,3
7500,3
7600,3
7700,3
7800,3
7900,3
8000,3
8100,3
8200,3
8300,3
8400,3
8500,3
8600,3
8700,3
8800,3
8900,3
9000,3
9100,3
9200,4
9300,4
9400,4
9500,4
9600,4
9700,4
9800,4
9900,4
10000,4
10100,4
10200,4
10300,4
10400,4
10500,4
10600,4
10700,4
10800,4
10900,4
11000,4
11100,4
11200,4
11300,4
11400,5
11500,5
11600,5
11700,5
11800,5
11900,5
12000,5
12100,5
12200,5
12300,5
12400,5
12500,5
12600,5
12700,5
12800,5
12900,5
13000,5
13100,5
13200,5
13300,5
13400,6
13500,6
13600,6
13700,6
13800,6
13900,6
14000,6
14100,6
14200,6
14300,6
14400,6
14500,6
14600,6
14700,6
14800,6
14900,6
15000,6
15100,6
15200,6
15300,6
15400,6
15500,6
15600,6
15700,7
15800,7
15900,7
16000,7
16100,7
16200,7
16300,7
16400,7
16500,7
16600,7
16700,7
16800,7
16900,7
17000,7
17100,7
17200,7
17300,7
17400,7
17500,7
17600,8
17700,8
17800,8
17900,8
18000,8
18100,8
18200,8
18300,8
18400,8
18500,8
18600,8
18700,8
18800,8
18900,8
19000,9
19100,9
19200,8
19300,8
19400,8
19500,9
19600,9
19700,9
19800,9
19900,9
20000,9
20100,9
20200,9
20300,9
20400,9
20500,9
20600,9
20700,9
20800,9
20900,9
21000,9
21100,9
21200,9
21300,9
21400,9
21500,9
21600,10
21700,10
21800,10
21900,10
22000,10
22100,10
22200,10
22300,10
22400,10
22500,10
22600,10
22700,10
22800,10
22900,10
23000,10
23100,10
23200,10
23300,10
23400,10
23500,10
23600,10
23700,10
23800,10
23900,10
24000,10
24100,10
24200,11
24300,11
24400,11
24500,11
24600,11
24700,11
24800,11
24900,11
25000,11
25100,11
25200,11
25300,11
25400,11
25500,11
25600,11
25700,11
25800,11
25900,12
26000,12
26100,12
26200,12
26300,12
26400,12
26500,12
26600,12
26700,12
26800,12
26900,12
27000,12
27100,12
27200,12
27300,12
27400,12
27500,12
27600,12
27700,12
27800,12
27900,12
28000,12
28100,13
28200,13
28300,13
28400,13
28500,13
28600,13
28700,13
28800,13
28900,13
29000,13
29100,13
29200,13
29300,13
29400,13
29500,13
29600,13
29700,13
29800,14
29900,14
30000,14
30100,14
30200,14
30300,14
30400,14
30500,14
30600,14
30700,14
30800,14
30900,14
31000,14
31100,14
31200,14
31300,14
31400,14
31500,14
31600,14
31700,14
31800,14
31900,14
32000,15
32100,14
32200,15
32300,15
32400,15
32500,15
32600,15
32700,15
32800,15
32900,15
33000,15
33100,15
33200,15
33300,15
33400,15
33500,15
33600,15
33700,15
33800,16
33900,15
34000,15
34100,16
34200,16
34300,16
34400,16
34500,16
34600,16
34700,16
34800,16
34900,16
35000,16
35100,16
35200,16
35300,16
35400,16
35500,16
35600,16
35700,16
35800,16
35900,16
36000,17
36100,17
36200,17
36300,17
36400,17
36500,17
36600,17
36700,17
36800,17
36900,17
37000,17
37100,17
37200,17
37300,17
37400,17
37500,17
37600,17
37700,17
37800,17
37900,18
38000,18
38100,17
38200,18
38300,18
38400,18
38500,18
38600,18
38700,18
38800,18
38900,18
39000,18
39100,18
39200,18
39300,18
39400,18
39500,18
39600,18
39700,18
39800,18
39900,18
40000,18
40100,18
40200,18
40300,19
40400,18
40500,19
40600,19
40700,19
40800,19
40900,19
41000,19
41100,19
41200,19
41300,19
41400,20
41500,19
41600,19
41700,19
41800,19
41900,19
42000,20
42100,19
42200,20
42300,20
42400,20
42500,20
42600,20
42700,20
42800,20
42900,20
43000,20
43100,20
43200,20
43300,20
43400,20
43500,20
43600,20
43700,20
43800,20
43900,20
44000,20
44100,20
44200,20
44300,21
44400,20
44500,21
44600,21
44700,21
44800,21
44900,21
45000,21
45100,21
45200,21
45300,21
45400,21
45500,21
45600,21
45700,21
45800,21
45900,21
46000,21
46100,22
46200,21
46300,22
46400,21
46500,21
46600,21
46700,21
46800,22
46900,21
47000,22
47100,22
47200,21
47300,21
47400,21
47500,22
47600,22
47700,22
47800,22
47900,22
48000,22
48100,22
48200,22
48300,22
48400,22
48500,22
48600,22
48700,22
48800,23
48900,23
49000,23
49100,23
49200,23
49300,23
49400,23
49500,23
49600,23
49700,23
49800,23
49900,23
50000,23
50100,23
50200,23
50300,23
50400,24
50500,24
50600,24
50700,24
50800,23
50900,24
51000,24
51100,24
51200,24
51300,24
51400,24
51500,24
51600,24
51700,24
51800,25
51900,25
52000,25
52100,25
52200,25
52300,25
52400,25
52500,25
52600,25
52700,25
52800,25
52900,25
53000,25
53100,25
53200,25
53300,25
53400,25
53500,25
53600,25
53700,25
53800,25
53900,25
54000,25
54100,25
54200,26
54300,26
54400,26
54500,26
54600,26
54700,26
54800,26
54900,26
55000,26
55100,26
55200,26
55300,26
55400,26
55500,26
55600,26
55700,26
55800,27
55900,27
56000,27
56100,27
56200,27
56300,27
56400,27
56500,27
56600,27
56700,27
56800,27
56900,27
57000,27
57100,27
57200,27
57300,27
57400,27
57500,27
57600,27
57700,27
57800,28
57900,28
58000,28
58100,28
58200,28
58300,28
58400,27
58500,28
58600,28
58700,28
58800,28
58900,28
59000,28
59100,28
59200,28
59300,28
59400,28
59500,28
59600,28
59700,28
59800,28
59900,29
60000,28
60100,29
60200,28
60300,29
60400,28
60500,29
60600,29
