N,AverageTime_ms
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,1
3300,1
3400,1
3500,1
3600,1
3700,1
3800,1
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,2
6100,2
6200,2
6300,2
6400,2
6500,2
6600,2
6700,2
6800,2
6900,2
7000,2
7100,2
7200,2
7300,2
7400,2
7500,2
7600,2
7700,2
7800,2
7900,2
8000,2
8100,2
8200,2
8300,2
8400,2
8500,2
8600,2
8700,3
8800,3
8900,3
9000,3
9100,3
9200,3
9300,3
9400,3
9500,3
9600,3
9700,3
9800,3
9900,3
10000,3
10100,3
10200,3
10300,3
10400,3
10500,3
10600,3
10700,3
10800,3
10900,3
11000,3
11100,3
11200,3
11300,3
11400,3
11500,4
11600,4
11700,4
11800,4
11900,4
12000,4
12100,4
12200,4
12300,4
12400,4
12500,4
12600,4
12700,4
12800,4
12900,4
13000,4
13100,4
13200,4
13300,4
13400,4
13500,4
13600,4
13700,4
13800,4
13900,4
14000,5
14100,5
14200,5
14300,5
14400,5
14500,5
14600,5
14700,5
14800,5
14900,5
15000,5
15100,5
15200,5
15300,5
15400,5
15500,5
15600,5
15700,5
15800,5
15900,5
16000,5
16100,5
16200,5
16300,5
16400,5
16500,5
16600,5
16700,5
16800,6
16900,6
17000,6
17100,6
17200,6
17300,6
17400,6
17500,6
17600,6
17700,6
17800,6
17900,6
18000,6
18100,6
18200,6
18300,6
18400,6
18500,6
18600,6
18700,6
18800,6
18900,6
19000,6
19100,6
19200,7
19300,7
19400,7
19500,7
19600,7
19700,7
19800,7
19900,7
20000,7
20100,7
20200,7
20300,7
20400,7
20500,7
20600,7
20700,7
20800,7
20900,7
21000,7
21100,7
21200,7
21300,7
21400,7
21500,7
21600,7
21700,7
21800,7
21900,7
22000,7
22100,8
22200,8
22300,8
22400,8
22500,8
22600,8
22700,8
22800,8
22900,8
23000,8
23100,8
23200,8
23300,8
23400,8
23500,8
23600,8
23700,8
23800,8
23900,8
24000,8
24100,8
24200,8
24300,8
24400,8
24500,8
24600,8
24700,8
24800,8
24900,8
25000,8
25100,9
25200,9
25300,9
25400,9
25500,9
25600,9
25700,9
25800,9
25900,9
26000,9
26100,9
26200,9
26300,9
26400,9
26500,9
26600,9
26700,9
26800,9
26900,9
27000,10
27100,10
27200,10
27300,10
27400,10
27500,10
27600,10
27700,10
27800,10
27900,10
28000,10
28100,10
28200,10
28300,10
28400,10
28500,10
28600,10
28700,10
28800,10
28900,10
29000,10
29100,10
29200,10
29300,10
29400,10
29500,10
29600,10
29700,11
29800,11
29900,10
30000,11
30100,11
30200,11
30300,11
30400,11
30500,11
30600,11
30700,11
30800,11
30900,11
31000,11
31100,11
31200,11
31300,11
31400,11
31500,11
31600,11
31700,11
31800,11
31900,11
32000,11
32100,11
32200,11
32300,11
32400,11
32500,11
32600,11
32700,11
32800,11
32900,12
33000,12
33100,11
33200,12
33300,12
33400,12
33500,12
33600,12
33700,12
33800,12
33900,12
34000,12
34100,12
34200,12
34300,12
34400,12
34500,12
34600,12
34700,12
34800,12
34900,12
35000,12
35100,13
35200,13
35300,13
35400,13
35500,14
35600,13
35700,13
35800,13
35900,13
36000,13
36100,13
36200,13
36300,13
36400,13
36500,13
36600,13
36700,13
36800,13
36900,13
37000,13
37100,13
37200,13
37300,13
37400,13
37500,13
37600,13
37700,14
37800,14
37900,14
38000,14
38100,14
38200,14
38300,14
38400,14
38500,14
38600,14
38700,14
38800,14
38900,14
39000,14
39100,14
39200,14
39300,14
39400,14
39500,14
39600,14
39700,14
39800,14
39900,14
40000,14
40100,14
40200,14
40300,14
40400,14
40500,14
40600,14
40700,15
40800,15
40900,15
41000,15
41100,15
41200,15
41300,15
41400,15
41500,15
41600,15
41700,15
41800,15
41900,15
42000,15
42100,15
42200,15
42300,16
42400,15
42500,15
42600,16
42700,15
42800,15
42900,16
43000,15
43100,16
43200,16
43300,16
43400,16
43500,16
43600,16
43700,16
43800,16
43900,16
44000,16
44100,16
44200,16
44300,16
44400,16
44500,16
44600,16
44700,16
44800,16
44900,16
45000,16
45100,16
45200,16
45300,16
45400,16
45500,17
45600,16
45700,17
45800,17
45900,17
46000,17
46100,17
46200,17
46300,17
46400,17
46500,17
46600,17
46700,17
46800,17
46900,17
47000,17
47100,17
47200,17
47300,17
47400,17
47500,17
47600,17
47700,17
47800,17
47900,17
48000,17
48100,17
48200,18
48300,18
48400,18
48500,18
48600,18
48700,18
48800,18
48900,18
49000,18
49100,18
49200,18
49300,18
49400,18
49500,18
49600,18
49700,18
49800,18
49900,18
50000,18
50100,19
50200,19
50300,19
50400,19
50500,19
50600,19
50700,19
50800,19
50900,19
51000,19
51100,19
51200,19
51300,19
51400,19
51500,19
51600,19
51700,19
51800,19
51900,19
52000,19
52100,19
52200,19
52300,19
52400,20
52500,19
52600,19
52700,19
52800,19
52900,20
53000,20
53100,20
53200,19
53300,20
53400,20
53500,20
53600,20
53700,20
53800,20
53900,20
54000,20
54100,20
54200,20
54300,20
54400,20
54500,20
54600,20
54700,20
54800,20
54900,20
55000,21
55100,21
55200,21
55300,20
55400,21
55500,21
55600,21
55700,21
55800,21
55900,21
56000,21
56100,21
56200,21
56300,21
56400,21
56500,21
56600,23
56700,21
56800,21
56900,22
57000,21
57100,23
57200,22
57300,22
57400,22
57500,22
57600,22
57700,21
57800,21
57900,22
58000,22
58100,22
58200,22
58300,22
58400,22
58500,22
58600,22
58700,22
58800,22
58900,22
59000,22
59100,22
59200,22
59300,22
59400,22
59500,23
59600,23
59700,23
59800,23
59900,23
60000,23
60100,23
60200,23
60300,23
60400,23
60500,23
60600,23
